X,Y,SAMPLE_1
479236.550,621191.155,86
479246.550,621191.155,86
479256.550,621191.155,86
479266.550,621191.155,86
479276.550,621191.155,86
479286.550,621191.155,86
479296.550,621191.155,86
479306.550,621191.155,86
479316.550,621191.155,86
479326.550,621191.155,86
479336.550,621191.155,86
479346.550,621191.155,86
479356.550,621191.155,86
479366.550,621191.155,86
479376.550,621191.155,86
479386.550,621191.155,86
479396.550,621191.155,86
479406.550,621191.155,86
479416.550,621191.155,86
479426.550,621191.155,86
479436.550,621191.155,86
479446.550,621191.155,86
479456.550,621191.155,86
479466.550,621191.155,86
479476.550,621191.155,86
479486.550,621191.155,86
479496.550,621191.155,86
479506.550,621191.155,86
479516.550,621191.155,86
479526.550,621191.155,86
479536.550,621191.155,86
479546.550,621191.155,86
479556.550,621191.155,86
479566.550,621191.155,86
479576.550,621191.155,86
479586.550,621191.155,86
479596.550,621191.155,86
479606.550,621191.155,86
479616.550,621191.155,86
479626.550,621191.155,86
479636.550,621191.155,86
479646.550,621191.155,86
479656.550,621191.155,86
479666.550,621191.155,86
479676.550,621191.155,86
479686.550,621191.155,86
479696.550,621191.155,86
479706.550,621191.155,86
479716.550,621191.155,86
479726.550,621191.155,86
479736.550,621191.155,86
479746.550,621191.155,86
479756.550,621191.155,86
479766.550,621191.155,86
479776.550,621191.155,86
479786.550,621191.155,86
479796.550,621191.155,86
479806.550,621191.155,86
479816.550,621191.155,86
479826.550,621191.155,86
479836.550,621191.155,86
479846.550,621191.155,86
479856.550,621191.155,86
479866.550,621191.155,86
479876.550,621191.155,86
479886.550,621191.155,86
479896.550,621191.155,86
479906.550,621191.155,86
479916.550,621191.155,86
479926.550,621191.155,86
479936.550,621191.155,111
479946.550,621191.155,111
479956.550,621191.155,111
479966.550,621191.155,111
479976.550,621191.155,111
479986.550,621191.155,111
479996.550,621191.155,111
480006.550,621191.155,111
480016.550,621191.155,111
480026.550,621191.155,121
480036.550,621191.155,121
480046.550,621191.155,121
480056.550,621191.155,121
480066.550,621191.155,121
480076.550,621191.155,121
480086.550,621191.155,121
480096.550,621191.155,121
